Date;EUPG15;EUPG110;EUPG120;EUPG55;EUPG510;EUPG520;EUPG105;EUPG1010;EUPG1020
03/04/14;34.62976814;14.68764902;8.709175739;11.13367799;8.693484043;7.836570663;6.883194279;7.178141402;7.176157176
10/04/14;36.32411067;15.31620553;9.070972887;11.40684411;8.943781942;8.039685255;7.06025563;7.381177211;7.358426585
17/04/14;35.25989139;15.10034263;9.015091342;11.43396226;9.00916186;8.111338798;7.142857143;7.473253619;7.479647218
24/04/14;36.3323124;15.60963618;9.343737495;11.8883792;9.323489011;8.393782383;7.410824108;7.752308182;7.753001715
01/05/14;56.41646489;18.47953216;10.58796509;12.83728536;10.13462977;9.248665141;8.131605864;8.525345622;8.574181118
08/05/14;43.17617866;16.87946885;9.72507181;12.41204066;9.674597621;8.626141954;7.604622111;7.853910795;7.836990596
15/05/14;46.19460501;17.46518106;9.956427015;12.89308176;10.12213175;9.106021426;7.84921671;8.159136885;8.139111435
22/05/14;43.87477314;16.52360515;9.616204691;12.47468611;9.794000723;8.881220487;7.72449308;8.005336891;7.999277718
29/05/14;44.01340996;16.36161952;9.309895833;11.89979123;9.27701955;8.278145695;7.296416938;7.53194351;7.412790698
05/06/14;41.70684667;16.22282609;9.276595745;11.5819209;9.089279312;8.109077861;7.142857143;7.368421053;7.279829545
12/06/14;45.42772861;16.70264436;9.403669725;12.20143312;9.398099261;8.272251309;7.395898073;7.548675391;7.434752747
19/06/14;51.64271047;17.94799322;9.822202949;13.67825723;10.21723122;8.863058482;8.042071197;8.070931389;7.856381088
26/06/14;51.77419355;18.01389693;9.713914174;14.030837;10.41252865;9.059089198;8.399189463;8.379405667;8.197826901
03/07/14;52.8024819;18.75641757;10.22727273;14.23793395;10.58078928;9.179787624;8.408644401;8.382352941;8.114490161
10/07/14;59.88925803;21.18674699;11.33879781;16.02328706;11.6588785;10.05335366;9.155359566;9.156001384;8.902077151
17/07/14;56.58564815;21.15577889;11.64454976;16.41049672;11.96269262;10.36226115;9.4397463;9.498918529;9.289596273
24/07/14;56.5559247;21.86461538;12.37470726;16.46950092;12.19943707;10.61562747;9.698139698;9.770691508;9.564379337
31/07/14;57.76536313;23.78731343;13.74227294;17.55482968;13.16026165;11.46409948;10.34099067;10.42397661;10.21952176
07/08/14;62.34875445;25.79605263;14.81795511;18.9147671;14.31456811;12.48313659;10.95844253;11.26529052;11.05111294
14/08/14;66.74534161;27.75372124;15.93177189;20.66023362;15.73813708;13.68782161;12.05118411;12.38539239;12.02251877
21/08/14;77.79204108;31.75513093;17.66219839;23.89749066;17.69837587;14.90506329;13.73479319;13.85885266;13.11762134
28/08/14;79.85294118;30.63981043;16.25578704;22.84090909;16.56663276;13.47531462;12.82028859;12.72168569;11.74953959
04/09/14;75.06706408;27.75272727;15.0261233;19.4199042;14.1719457;11.56678082;11.15638339;11.12840467;10.24557166
11/09/14;69.15966387;25.09065551;13.9744898;17.89688617;13.18261633;10.87962963;10.50512723;10.37931034;9.710959454
18/09/14;70.40207523;25.41918176;13.85257985;18.63298663;13.39293316;10.94501018;10.61487482;10.29183598;9.774143302
25/09/14;82.11062591;28.15884477;14.84520124;20.36624204;14.34529148;11.63265306;11.25095639;10.8575804;10.39935458
02/10/14;82.41538462;28.14339623;14.79635584;20.89950028;14.72429907;11.85070671;11.48251192;11.02818579;10.56160939
09/10/14;82.94736842;30.96268657;16.81359533;22.26696084;15.76137419;12.64216973;12.29249012;11.83609141;11.30632493
16/10/14;78.59728507;30.73700543;16.89905187;21.93623188;15.64833006;12.64937471;12.30963399;11.85959047;11.3876652
23/10/14;78.2260372;30.09544787;16.49894068;21.77242888;15.56070436;12.61403509;12.19183512;11.80990099;11.33277801
30/10/14;85.82568807;31.8579235;16.97375768;23.26150262;16.26227898;12.98148148;12.6758794;12.10262829;11.53204565
06/11/14;96.80194805;34.32669323;17.86429366;24.55404607;16.8172888;13.35469108;12.96434494;12.36572366;11.74323744
13/11/14;102.3539519;35.43640898;18.54323854;25.42821935;17.39908022;13.85570951;13.56712565;13.07363014;12.39335429
20/11/14;114.3645485;39.75041597;20.38953488;27.57481297;18.65671642;14.6493756;14.3474503;13.84285101;13.00494827
27/11/14;112.2568807;39.96347032;20.66916823;27.69177609;19.07054871;15.06707946;14.6450116;14.19651056;13.13903488
04/12/14;109.0939597;40.32745592;21.35663507;27.04773869;19.49241235;15.5582762;15.25663717;14.92517606;13.74483708
11/12/14;118.8372093;47.49094203;25.72347267;31.8989071;23.06076093;18.13233725;17.8156505;17.51681076;15.56278139
18/12/14;123.0379747;50.57874763;27.29602158;33.65871294;24.28743235;18.74164811;18.69653768;18.17444219;15.77002053
25/12/14;135.8424908;54.9904943;29.03807615;36.49855908;26.05861244;19.86218302;19.84840829;19.18;16.53767821
01/01/15;175.5502392;91.19645495;42.17429577;70.01310616;41.1637931;28.78920496;27.9316888;26.95409429;22.83826306
08/01/15;178.9484536;73.81778742;40.40427155;47.94238683;35.7565337;26.93609023;28.56056173;27.31721359;22.81105991
15/01/15;193.1873479;75.84123223;41.60685155;48.11619718;36.33554084;27.80373832;29.23510972;27.48627212;23.52725046
22/01/15;171.6883117;70.11098779;39.91426345;47.29304636;35.68723703;27.93457344;29.32448733;27.73984697;24.52437574
29/01/15;187.0549451;76.75458716;44.94745352;51.76470588;39.01018923;31.12005366;32.91407223;30.55691554;27.61755486
05/02/15;204.4269663;84.32657926;50.29888984;55.71813285;42.89453426;34.68571429;37.17914439;34.55911169;31.55091032
12/02/15;204.4285714;82.71144279;48.12891674;52.56719184;40.0399361;32.20224719;34.51882845;31.83379121;29.01849218
19/02/15;212.2787611;83.29931973;45.73954984;51.89553496;38.43278217;30.31312458;32.68656716;29.94508847;26.54205607
26/02/15;223.5844156;87.6758794;50.20815265;54.65245598;41.67055167;33.52102637;35.71713147;33.27048114;29.52443857
05/03/15;213.6470588;95.09615385;62.04225352;62.41748439;50.04643963;42.42490842;44.89823609;44.12483039;38.61324042
12/03/15;268.9537713;131.1857708;86.4137931;87.19681909;70.96187175;59.61092715;66.23664122;65.66358025;54.37990581
19/03/15;284.1061453;140.1567398;96.29200463;94.85101311;80.63983488;72.14495593;74.49773756;76.50362319;69.5559667
26/03/15;266.2234043;128.4388807;91.84597961;93.20441989;80.99409449;77.0496592;45.8311229;47.56306306;48.51763584
02/04/15;309.8950131;133.4171598;91.03608847;94.56062291;79.06187625;73.83991895;76.2037872;80.42095416;76.10887097
09/04/15;467.1428571;164.6422893;99.76331361;127.6112412;96.659857;83.23232323;52.73873874;54.47878229;51.96850394
16/04/15;480.7246377;175.7692308;108.1973684;133.5197817;104.8726852;91.34831461;56.585;58.17171717;74.2972973
23/04/15;296.8;121.7647059;80.15892421;84.1809291;69.29411765;62.85414481;60.67298578;60.90996169;58.27374872
30/04/15;174.4394619;79.42381562;57.11500975;49.45578231;42.00686106;40.47698745;36.16030534;37.40769231;37.04692557
07/05/15;129.347079;59.27308448;42.57503949;34.55677656;30.06702413;29.62406015;25.87223587;27.28954082;27.7412731
14/05/15;116.9266771;51.66811468;35.92491468;30.01931745;26.19906868;25.38190364;22.14135021;23.49214943;23.8178634
21/05/15;128.2797428;55.28947368;38.32755031;33.40232859;28.97360704;28.01190476;23.80724175;25.68670712;26.25668449
28/05/15;116.754386;52.28869896;35.97507331;28.3943662;24.44027517;23.87177876;19.67615857;21.28883774;22.02853598
04/06/15;90.94212651;41.87793427;29.8929471;23.38218054;19.97346072;19.9726776;15.96533462;17.31989924;18.32691249
11/06/15;84.14457831;39.17788802;28.29408386;21.79160021;19.01162791;19.00599401;15.34216336;16.35191156;17.26996967
18/06/15;77.20430108;35.84151473;25.29209622;20.26687598;17.69119071;17.40427648;14.26720286;14.99074931;15.6587582
25/06/15;73.93902439;33.95121951;22.52911814;18.81013968;15.82629108;15.4180602;12.65644955;13.2585752;14.03256705
02/07/15;80.53482587;36.16746086;23.87852957;20.10494753;16.87022901;16.15209472;13.5794996;14.16978777;15.1910828
09/07/15;79.03401361;35.04095309;22.87209302;21.37609649;17.73175542;16.82112606;14.37000887;14.95446266;15.92407592
16/07/15;91.62198391;37.90816327;24.14101847;23.19354839;18.62857143;17.521449;14.67878276;15.30506274;16.39545885
23/07/15;111.1343284;44.31512272;28.16216216;26.28787879;20.96262161;19.7593446;16.53116531;17.26432532;18.62944162
30/07/15;116.7741935;46.41004184;29.50757576;26.36809816;20.97207304;19.77407208;16.55791962;17.32428502;18.53554249
06/08/15;116.3093415;46.78972713;29.40280317;27.04117647;21.45520456;20.03112033;17.00228833;17.80384796;19.0241397
13/08/15;133.3113674;52.16354344;32.14790997;30.33083645;23.70350109;22.12486309;18.56385542;19.50049456;20.88840737
20/08/15;123.4107143;51.22869955;32.34113712;27.86885246;22.18998862;20.83001706;17.32107356;18.34525026;19.82554868
27/08/15;113.6186186;45.03961965;28.96825397;25.30197445;20.0464636;18.82967607;15.72744015;16.59080133;17.85975929
03/09/15;122.4960998;44.89243028;27.53325272;25.93495935;20.30040733;18.85802469;15.59443697;16.41465677;17.53459764
10/09/15;122.4797407;45.17915309;27.49696233;25.32305868;19.77331273;18.28527291;15.23208653;15.97318539;17.12028542
17/09/15;113.3381089;44.16854778;27.21967963;25.42841349;19.85451018;18.32927423;15.27327071;16.09134827;17.36151603
24/09/15;151.2436975;52.78534923;30.69031032;29.91277259;22.6788596;20.79074771;17.17228464;17.85473785;19.56684492
01/10/15;148.2835821;51.10813226;29.58602846;29.70303422;22.68829027;20.83105522;17.28219697;17.85956416;19.72387656
08/10/15;142.4444444;49.19011083;28.48675914;29.03846154;22.34600964;20.14453961;16.99906803;17.52626552;18.98882384
15/10/15;168.6486486;50.96153846;28.47371754;30.19632679;22.66198704;20.19775521;17.22661703;17.55576649;18.98474487
22/10/15;193.6307054;53.36397059;29.83028721;30.15013055;22.79778393;20.14737991;17.39771646;17.57619739;18.99303696
29/10/15;187.641129;50.53715309;28.38150289;27.65003159;21.26355748;18.81754949;16.23297323;16.51551313;17.64705882
05/11/15;192.0784314;46.84210526;25.56441718;26.15712546;19.76671851;17.3157092;14.75278396;14.96604799;15.83746283
12/11/15;243.5245902;52.2193659;27.83424077;28.55184744;21.37843337;18.75810474;15.56723609;15.94318686;17.04678363
19/11/15;314.6300716;58.51746931;30.73442623;31.38925295;23.4746696;20.60475162;16.90107829;17.46895893;19.03907075
26/11/15;214.7916667;48.99425287;27.16349311;27.35120994;21.14160263;18.89428263;15.27323681;15.9239905;17.66013764
03/12/15;172.83859;45.64569536;25.73309396;26.38709677;20.11581067;18.29243866;14.83013937;15.46666667;17.250499
10/12/15;183.2489451;49.25399645;27.95994994;28.03738318;21.2170706;19.43229167;15.56807935;16.43873336;18.50308642
17/12/15;147.0912548;45.64390666;27.03448276;26.4781807;20.33613445;18.85608856;15.28318985;15.90018657;18.19905213
24/12/15;405.9693878;61.58264947;32.29893778;31.97162061;23.66605052;21.97174447;17.02744692;18;20.73780488
31/12/15;519.1709845;68.04423749;34.01202104;34.25516224;24.77175898;22.55306246;17.34767025;18.25697736;20.79326923
07/01/16;208.7398374;52.89145907;28.6380597;29.91792929;22.11801897;19.93264249;15.9500446;16.3413527;18.17718941
14/01/16;315.5913978;61.65137615;32.31415643;33.45559846;24.71195652;22.20366379;17.47793776;18.30564784;20.35237587
21/01/16;490.0289855;75.24793388;37.86713287;39.72535211;28.37995338;25.64618036;19.84298332;20.91503268;23.23363431
28/01/16;786.9230769;88.10289389;44.27113703;44.50693937;31.67675545;28.69019139;22.75791624;23.85181293;26.51408451
04/02/16;774.2040816;110.0965018;56.69082126;54.83948636;39.20982736;36.26719057;28.8627451;31.03170029;34.35649936
11/02/16;1278.018018;120.9711286;62.03787196;60.81526453;43.12087912;40.47093451;32.23130107;34.90479317;39.01171303
18/02/16;1034.27907;134.5006658;67.76280323;66.35720601;45.93543654;43.82978723;33.93167702;37.53078419;44.07703488
25/02/16;1469.702381;143.125;68.61030126;64.78632479;44.1875;41.83478952;30.89414859;34.25191371;40.112
03/03/16;;;;;;;;;
